Id,rating
802553,3
802554,4
802555,4
802556,4
802557,4
802558,4
802559,4
802560,4
802561,4
802562,4
802563,4
802564,4
802565,4
802566,3
802567,3
802568,4
802569,4
802570,3
802571,4
802572,4
802573,4
802574,3
802575,4
802576,3
802577,4
802578,3
802579,4
802580,4
802581,4
802582,4
802583,3
802584,4
802585,4
802586,4
802587,4
802588,4
802589,3
802590,4
802591,4
802592,4
802593,3
802594,4
802595,4
802596,3
802597,3
802598,4
802599,4
802600,5
802601,4
802602,4
802603,3
802604,4
802605,3
802606,4
802607,4
802608,3
802609,3
802610,3
802611,3
802612,4
802613,3
802614,4
802615,4
802616,4
802617,3
802618,3
802619,3
802620,3
802621,3
802622,3
802623,3
802624,4
802625,3
802626,4
802627,3
802628,3
802629,3
802630,3
802631,3
802632,3
802633,3
802634,3
802635,4
802636,3
802637,2
802638,4
802639,4
802640,3
802641,4
802642,4
802643,4
802644,4
802645,4
802646,4
802647,3
802648,4
802649,4
802650,4
802651,4
802652,4
802653,4
802654,4
802655,4
802656,4
802657,4
802658,4
802659,3
802660,4
802661,4
802662,3
802663,4
802664,2
802665,3
802666,3
802667,3
802668,3
802669,4
802670,3
802671,3
802672,3
802673,3
802674,2
802675,3
802676,4
802677,4
802678,4
802679,3
802680,3
802681,4
802682,4
802683,3
802684,4
802685,4
802686,4
802687,2
802688,4
802689,4
802690,4
802691,4
802692,3
802693,3
802694,2
802695,3
802696,4
802697,4
802698,4
802699,4
802700,4
802701,3
802702,3
802703,3
802704,4
802705,3
802706,4
802707,4
802708,3
802709,4
802710,4
802711,4
802712,4
802713,4
802714,4
802715,5
802716,4
802717,5
802718,4
802719,4
802720,5
802721,4
802722,4
802723,4
802724,4
802725,4
802726,4
802727,4
802728,4
802729,4
802730,4
802731,4
802732,3
802733,4
802734,4
802735,4
802736,4
802737,4
802738,4
802739,4
802740,4
802741,4
802742,3
802743,4
802744,4
802745,5
802746,4
802747,4
802748,4
802749,4
802750,4
802751,4
802752,4
802753,4
802754,4
802755,4
802756,4
802757,4
802758,4
802759,5
802760,5
802761,4
802762,4
802763,4
802764,4
802765,4
802766,4
802767,4
802768,4
802769,4
802770,3
802771,5
802772,4
802773,4
802774,4
802775,4
802776,4
802777,4
802778,3
802779,3
802780,4
802781,5
802782,4
802783,4
802784,4
802785,5
802786,4
802787,4
802788,4
802789,4
802790,2
802791,2
802792,3
802793,4
802794,3
802795,4
802796,3
802797,3
802798,4
802799,3
802800,3
802801,3
802802,3
802803,3
802804,3
802805,4
802806,4
802807,3
802808,3
802809,3
802810,3
802811,4
802812,4
802813,3
802814,4
802815,3
802816,3
802817,4
802818,3
802819,4
802820,4
802821,4
802822,3
802823,3
802824,3
802825,3
802826,4
802827,3
802828,2
802829,3
802830,2
802831,3
802832,3
802833,3
802834,3
802835,3
802836,3
802837,3
802838,3
802839,3
802840,3
802841,4
802842,4
802843,3
802844,3
802845,3
802846,3
802847,3
802848,3
802849,4
802850,3
802851,3
802852,3
802853,3
802854,4
802855,3
802856,3
802857,4
802858,3
802859,4
802860,2
802861,3
802862,3
802863,3
802864,4
802865,3
802866,3
802867,3
802868,3
802869,3
802870,4
802871,3
802872,4
802873,4
802874,3
802875,3
802876,3
802877,4
802878,3
802879,2
802880,4
802881,4
802882,4
802883,3
802884,3
802885,3
802886,2
802887,3
802888,2
802889,3
802890,3
802891,3
802892,3
802893,4
802894,4
802895,3
802896,5
802897,4
802898,4
802899,4
802900,4
802901,4
802902,5
802903,5
802904,3
802905,5
802906,3
802907,4
802908,4
802909,4
802910,4
802911,4
802912,5
802913,3
802914,4
802915,4
802916,4
802917,4
802918,5
802919,4
802920,5
802921,3
802922,4
802923,3
802924,4
802925,3
802926,4
802927,4
802928,4
802929,4
802930,4
802931,3
802932,4
802933,4
802934,4
802935,4
802936,3
802937,4
802938,3
802939,3
802940,3
802941,4
802942,4
802943,4
802944,3
802945,3
802946,4
802947,4
802948,4
802949,5
802950,4
802951,4
802952,2
802953,4
802954,4
802955,2
802956,3
802957,3
802958,4
802959,4
802960,4
802961,4
802962,4
802963,3
802964,3
802965,4
802966,3
802967,3
802968,4
802969,4
802970,3
802971,3
802972,4
802973,4
802974,4
802975,3
802976,4
802977,4
802978,4
802979,2
802980,2
802981,3
802982,3
802983,4
802984,4
802985,4
802986,2
802987,4
802988,2
802989,3
802990,3
802991,2
802992,4
802993,3
802994,3
802995,3
802996,3
802997,3
802998,2
802999,4
803000,4
803001,3
803002,3
803003,3
803004,3
803005,2
803006,4
803007,4
803008,3
803009,3
803010,3
803011,3
803012,3
803013,2
803014,2
803015,4
803016,3
803017,3
803018,4
803019,4
803020,4
803021,3
803022,4
803023,4
803024,4
803025,3
803026,4
803027,4
803028,3
803029,3
803030,4
803031,3
803032,4
803033,3
803034,4
803035,3
803036,3
803037,4
803038,4
803039,3
803040,3
803041,4
803042,4
803043,3
803044,3
803045,4
803046,3
803047,4
803048,5
803049,4
803050,4
803051,3
803052,3
803053,4
803054,2
803055,4
803056,3
803057,4
803058,4
803059,3
803060,4
803061,4
803062,4
803063,4
803064,3
803065,3
803066,4
803067,2
803068,3
803069,3
803070,3
803071,3
803072,4
803073,3
803074,3
803075,3
803076,4
803077,3
803078,3
803079,3
803080,3
803081,4
803082,3
803083,4
803084,3
803085,4
803086,3
803087,3
803088,4
803089,3
803090,4
803091,3
803092,3
803093,4
803094,3
803095,4
803096,4
803097,4
803098,3
803099,4
803100,4
803101,3
803102,2
803103,2
803104,3
803105,3
803106,4
803107,4
803108,3
803109,4
803110,3
803111,3
803112,3
803113,3
803114,2
803115,4
803116,3
803117,4
803118,3
803119,4
803120,4
803121,4
803122,4
803123,3
803124,3
803125,3
803126,4
803127,3
803128,3
803129,2
803130,3
803131,4
803132,3
803133,4
803134,3
803135,4
803136,4
803137,3
803138,4
803139,4
803140,4
803141,4
803142,2
803143,4
803144,3
803145,3
803146,4
803147,4
803148,4
803149,4
803150,3
803151,3
803152,3
803153,3
803154,4
803155,4
803156,4
803157,4
803158,3
803159,3
803160,2
803161,4
803162,4
803163,3
803164,3
803165,3
803166,4
803167,4
803168,3
803169,4
803170,3
803171,4
803172,2
803173,4
803174,4
803175,4
803176,3
803177,4
803178,4
803179,5
803180,4
803181,4
803182,4
803183,4
803184,4
803185,4
803186,4
803187,4
803188,5
803189,5
803190,5
803191,4
803192,4
803193,4
803194,5
803195,4
803196,3
803197,4
803198,3
803199,4
803200,4
803201,4
803202,4
803203,4
803204,3
803205,2
803206,4
803207,5
803208,3
803209,3
803210,4
803211,4
803212,4
803213,4
803214,3
803215,3
803216,3
803217,4
803218,3
803219,3
803220,3
803221,3
803222,3
