Id,rating
802553,4
802554,4
802555,4
802556,5
802557,5
802558,4
802559,4
802560,4
802561,4
802562,5
802563,4
802564,4
802565,4
802566,3
802567,3
802568,4
802569,4
802570,3
802571,4
802572,4
802573,4
802574,4
802575,4
802576,4
802577,4
802578,3
802579,4
802580,4
802581,4
802582,4
802583,4
802584,4
802585,4
802586,4
802587,4
802588,4
802589,4
802590,4
802591,4
802592,4
802593,3
802594,4
802595,4
802596,3
802597,4
802598,4
802599,4
802600,5
802601,4
802602,3
802603,3
802604,4
802605,3
802606,4
802607,3
802608,3
802609,2
802610,3
802611,3
802612,3
802613,3
802614,4
802615,4
802616,3
802617,3
802618,3
802619,4
802620,3
802621,3
802622,2
802623,3
802624,3
802625,4
802626,4
802627,3
802628,3
802629,3
802630,3
802631,3
802632,4
802633,3
802634,3
802635,4
802636,3
802637,2
802638,4
802639,4
802640,3
802641,4
802642,4
802643,4
802644,4
802645,4
802646,4
802647,3
802648,4
802649,5
802650,5
802651,4
802652,5
802653,3
802654,4
802655,5
802656,5
802657,4
802658,5
802659,4
802660,4
802661,4
802662,3
802663,4
802664,3
802665,2
802666,3
802667,3
802668,4
802669,4
802670,4
802671,4
802672,4
802673,3
802674,3
802675,4
802676,4
802677,4
802678,4
802679,3
802680,3
802681,3
802682,4
802683,3
802684,4
802685,4
802686,4
802687,4
802688,4
802689,4
802690,4
802691,4
802692,3
802693,4
802694,2
802695,4
802696,4
802697,4
802698,4
802699,4
802700,4
802701,4
802702,4
802703,3
802704,4
802705,3
802706,4
802707,4
802708,4
802709,4
802710,4
802711,4
802712,4
802713,4
802714,5
802715,5
802716,4
802717,5
802718,4
802719,4
802720,5
802721,4
802722,4
802723,5
802724,4
802725,4
802726,4
802727,4
802728,4
802729,4
802730,4
802731,4
802732,4
802733,5
802734,4
802735,5
802736,4
802737,4
802738,5
802739,4
802740,4
802741,4
802742,3
802743,4
802744,4
802745,5
802746,4
802747,4
802748,4
802749,4
802750,4
802751,5
802752,4
802753,5
802754,4
802755,4
802756,4
802757,4
802758,4
802759,5
802760,5
802761,4
802762,5
802763,4
802764,4
802765,4
802766,4
802767,4
802768,4
802769,4
802770,4
802771,5
802772,4
802773,4
802774,4
802775,4
802776,4
802777,4
802778,3
802779,4
802780,4
802781,5
802782,4
802783,4
802784,4
802785,5
802786,4
802787,4
802788,4
802789,4
802790,2
802791,2
802792,2
802793,4
802794,3
802795,4
802796,3
802797,4
802798,4
802799,3
802800,4
802801,3
802802,3
802803,3
802804,2
802805,4
802806,4
802807,4
802808,2
802809,4
802810,3
802811,4
802812,4
802813,3
802814,2
802815,4
802816,2
802817,5
802818,4
802819,3
802820,4
802821,4
802822,3
802823,3
802824,3
802825,3
802826,4
802827,2
802828,2
802829,4
802830,2
802831,3
802832,3
802833,3
802834,3
802835,3
802836,3
802837,3
802838,3
802839,3
802840,4
802841,4
802842,3
802843,2
802844,4
802845,3
802846,3
802847,3
802848,3
802849,3
802850,4
802851,3
802852,3
802853,4
802854,4
802855,3
802856,3
802857,3
802858,3
802859,4
802860,2
802861,4
802862,3
802863,4
802864,4
802865,3
802866,3
802867,3
802868,3
802869,3
802870,4
802871,3
802872,4
802873,4
802874,3
802875,3
802876,3
802877,4
802878,3
802879,3
802880,4
802881,4
802882,4
802883,3
802884,3
802885,3
802886,3
802887,2
802888,2
802889,4
802890,4
802891,3
802892,3
802893,4
802894,4
802895,3
802896,5
802897,5
802898,4
802899,4
802900,4
802901,4
802902,5
802903,5
802904,4
802905,5
802906,3
802907,4
802908,4
802909,4
802910,4
802911,4
802912,4
802913,4
802914,4
802915,4
802916,4
802917,4
802918,5
802919,4
802920,5
802921,3
802922,5
802923,3
802924,4
802925,3
802926,4
802927,4
802928,4
802929,4
802930,4
802931,3
802932,4
802933,8
802934,4
802935,4
802936,3
802937,3
802938,4
802939,3
802940,3
802941,4
802942,4
802943,4
802944,3
802945,3
802946,4
802947,4
802948,4
802949,5
802950,4
802951,4
802952,2
802953,4
802954,4
802955,2
802956,3
802957,4
802958,4
802959,5
802960,4
802961,4
802962,4
802963,3
802964,3
802965,4
802966,3
802967,3
802968,4
802969,4
802970,4
802971,4
802972,4
802973,4
802974,5
802975,3
802976,4
802977,4
802978,4
802979,3
802980,2
802981,3
802982,3
802983,4
802984,4
802985,4
802986,2
802987,5
802988,2
802989,4
802990,3
802991,2
802992,4
802993,3
802994,4
802995,3
802996,4
802997,3
802998,2
802999,4
803000,4
803001,3
803002,3
803003,4
803004,4
803005,2
803006,3
803007,4
803008,3
803009,3
803010,3
803011,4
803012,4
803013,3
803014,3
803015,4
803016,4
803017,3
803018,4
803019,4
803020,4
803021,4
803022,4
803023,4
803024,4
803025,3
803026,5
803027,4
803028,3
803029,3
803030,4
803031,3
803032,4
803033,4
803034,4
803035,4
803036,4
803037,4
803038,3
803039,3
803040,3
803041,4
803042,4
803043,3
803044,3
803045,5
803046,3
803047,5
803048,5
803049,4
803050,3
803051,2
803052,4
803053,4
803054,2
803055,4
803056,3
803057,4
803058,4
